scenario,policy,policy_label,discovery_mode,lambda_cost,lambda_privacy,lambda_latency,OCA,normalized_total_operational_cost,normalized_privacy_cost,normalized_latency_proxy,net_utility
noisy_untrusted_external,siot_aware_trust_privacy,Privacy-aware SIoT,bounded_relationship_guided,0.25,0.0,0.1,0.09508333333333334,0.22473766774019344,0.05959918864238822,0.40540629751573115,-0.0016417133532881378
noisy_untrusted_external,ego_only,Ego-only,exhaustive_hop,0.25,0.15,0.0,0.08341666666666667,0.0,0.0,0.0,0.08341666666666667
noisy_untrusted_external,opportunistic_all,Opportunistic all,exhaustive_hop,0.25,0.15,0.0,0.30275,1.0,1.0,1.0,-0.09724999999999998
noisy_untrusted_external,siot_aware,SIoT-aware,bounded_relationship_guided,0.25,0.15,0.0,0.09783333333333334,0.2285018831286446,0.08493584752310113,0.4279594456734815,0.027967485422707022
noisy_untrusted_external,siot_aware_trust_privacy,Privacy-aware SIoT,bounded_relationship_guided,0.25,0.15,0.0,0.09508333333333334,0.22473766774019344,0.05959918864238822,0.40540629751573115,0.029959038101926745
noisy_untrusted_external,ego_only,Ego-only,exhaustive_hop,0.25,0.15,0.1,0.08341666666666667,0.0,0.0,0.0,0.08341666666666667
noisy_untrusted_external,opportunistic_all,Opportunistic all,exhaustive_hop,0.25,0.15,0.1,0.30275,1.0,1.0,1.0,-0.19724999999999998
noisy_untrusted_external,siot_aware,SIoT-aware,bounded_relationship_guided,0.25,0.15,0.1,0.09783333333333334,0.2285018831286446,0.08493584752310113,0.4279594456734815,-0.014828459144641128
noisy_untrusted_external,siot_aware_trust_privacy,Privacy-aware SIoT,bounded_relationship_guided,0.25,0.15,0.1,0.09508333333333334,0.22473766774019344,0.05959918864238822,0.40540629751573115,-0.010581591649646373
noisy_untrusted_external,ego_only,Ego-only,exhaustive_hop,0.5,0.0,0.0,0.08341666666666667,0.0,0.0,0.0,0.08341666666666667
noisy_untrusted_external,opportunistic_all,Opportunistic all,exhaustive_hop,0.5,0.0,0.0,0.30275,1.0,1.0,1.0,-0.19724999999999998
noisy_untrusted_external,siot_aware,SIoT-aware,bounded_relationship_guided,0.5,0.0,0.0,0.09783333333333334,0.2285018831286446,0.08493584752310113,0.4279594456734815,-0.016417608230988964
noisy_untrusted_external,siot_aware_trust_privacy,Privacy-aware SIoT,bounded_relationship_guided,0.5,0.0,0.0,0.09508333333333334,0.22473766774019344,0.05959918864238822,0.40540629751573115,-0.01728550053676338
noisy_untrusted_external,ego_only,Ego-only,exhaustive_hop,0.5,0.0,0.1,0.08341666666666667,0.0,0.0,0.0,0.08341666666666667
noisy_untrusted_external,opportunistic_all,Opportunistic all,exhaustive_hop,0.5,0.0,0.1,0.30275,1.0,1.0,1.0,-0.29725
noisy_untrusted_external,siot_aware,SIoT-aware,bounded_relationship_guided,0.5,0.0,0.1,0.09783333333333334,0.2285018831286446,0.08493584752310113,0.4279594456734815,-0.059213552798337114
noisy_untrusted_external,siot_aware_trust_privacy,Privacy-aware SIoT,bounded_relationship_guided,0.5,0.0,0.1,0.09508333333333334,0.22473766774019344,0.05959918864238822,0.40540629751573115,-0.0578261302883365
noisy_untrusted_external,ego_only,Ego-only,exhaustive_hop,0.5,0.15,0.0,0.08341666666666667,0.0,0.0,0.0,0.08341666666666667
noisy_untrusted_external,opportunistic_all,Opportunistic all,exhaustive_hop,0.5,0.15,0.0,0.30275,1.0,1.0,1.0,-0.34724999999999995
noisy_untrusted_external,siot_aware,SIoT-aware,bounded_relationship_guided,0.5,0.15,0.0,0.09783333333333334,0.2285018831286446,0.08493584752310113,0.4279594456734815,-0.02915798535945413
noisy_untrusted_external,siot_aware_trust_privacy,Privacy-aware SIoT,bounded_relationship_guided,0.5,0.15,0.0,0.09508333333333334,0.22473766774019344,0.05959918864238822,0.40540629751573115,-0.026225378833121614
noisy_untrusted_external,ego_only,Ego-only,exhaustive_hop,0.5,0.15,0.1,0.08341666666666667,0.0,0.0,0.0,0.08341666666666667
noisy_untrusted_external,opportunistic_all,Opportunistic all,exhaustive_hop,0.5,0.15,0.1,0.30275,1.0,1.0,1.0,-0.4472499999999999
noisy_untrusted_external,siot_aware,SIoT-aware,bounded_relationship_guided,0.5,0.15,0.1,0.09783333333333334,0.2285018831286446,0.08493584752310113,0.4279594456734815,-0.07195392992680227
noisy_untrusted_external,siot_aware_trust_privacy,Privacy-aware SIoT,bounded_relationship_guided,0.5,0.15,0.1,0.09508333333333334,0.22473766774019344,0.05959918864238822,0.40540629751573115,-0.06676600858469472
nominal,ego_only,Ego-only,exhaustive_hop,0.0,0.0,0.0,0.1395,0.0,0.0,0.0,0.1395
