scenario,seed,episode,nodes,source_nodes,edges,density,average_degree,average_clustering_coefficient,graph_connected,average_shortest_path_length,effective_diameter,ego_component_size,ego_component_fraction,ego_degree,ego_degree_centrality,ego_betweenness_centrality,candidate_sources_within_1_hop,candidate_sources_within_2_hop,candidate_sources_within_3_hop,candidate_sources_within_4_hop,edge_count_OOR,edge_count_CLOR,edge_count_CWOR,edge_count_SOR,edge_count_POR,node_type_count_ego_device,node_type_count_environmental_sensor,node_type_count_infrastructure_sensor,node_type_count_opportunistic_object,node_type_count_personal_device,node_type_count_vehicle_sensor,node_type_count_wearable,capability_count_place,capability_count_activity,capability_count_env_load,capability_count_resource_state
noisy_untrusted_external,7,20,61,60,98,0.053551912568306013,3.2131147540983607,0.030054644808743168,True,3.6907103825136613,5.0,61,1.0,8,0.13333333333333333,0.3470171855765076,8,32,55,60,3,15,25,28,27,1,16,14,19,2,8,1,38,21,47,24
nominal,7,21,61,60,94,0.05136612021857923,3.081967213114754,0.01366120218579235,True,3.6907103825136613,5.0,61,1.0,8,0.13333333333333333,0.31172226706125006,8,32,55,60,3,20,28,23,20,1,16,14,19,2,8,1,47,16,41,22
degraded_ego,7,21,61,60,97,0.053005464480874315,3.180327868852459,0.026151444184231067,True,3.588524590163934,5.0,61,1.0,5,0.08333333333333333,0.1516440229575823,5,29,52,60,4,18,33,21,21,1,16,14,19,2,8,1,43,18,36,17
ambiguous_local_context,7,21,61,60,87,0.047540983606557376,2.8524590163934427,0.0,True,3.8846994535519124,6.0,61,1.0,6,0.1,0.31300331808806386,6,30,53,60,4,12,26,23,22,1,16,14,19,2,8,1,37,19,41,20
noisy_untrusted_external,7,21,61,60,95,0.05191256830601093,3.1147540983606556,0.014246682279469165,True,3.6459016393442623,5.0,61,1.0,7,0.11666666666666667,0.25206864855169947,7,31,54,60,5,13,28,20,29,1,16,14,19,2,8,1,39,12,36,19
nominal,7,22,61,60,89,0.048633879781420766,2.918032786885246,0.0,True,3.7808743169398906,5.0,61,1.0,8,0.13333333333333333,0.4149026993094791,8,32,55,60,3,13,32,24,17,1,16,14,19,2,8,1,38,19,41,23
degraded_ego,7,22,61,60,94,0.05136612021857923,3.081967213114754,0.030054644808743168,True,3.7289617486338797,5.0,61,1.0,7,0.11666666666666667,0.25989552506501656,7,31,54,60,3,13,30,29,19,1,16,14,19,2,8,1,40,23,38,23
ambiguous_local_context,7,22,61,60,93,0.05081967213114754,3.0491803278688523,0.0,True,3.790710382513661,6.0,61,1.0,8,0.13333333333333333,0.33759304098287135,8,32,55,60,4,11,27,31,20,1,16,14,19,2,8,1,44,22,34,26
noisy_untrusted_external,7,22,61,60,99,0.054098360655737705,3.2459016393442623,0.014754098360655736,True,3.60327868852459,5.0,61,1.0,7,0.11666666666666667,0.24988745403999646,7,31,54,60,3,9,32,29,26,1,16,14,19,2,8,1,43,16,38,21
nominal,7,23,61,60,96,0.05245901639344262,3.1475409836065573,0.04484777517564403,True,3.6841530054644807,5.0,61,1.0,5,0.08333333333333333,0.1660411622276029,5,29,52,60,4,16,28,25,23,1,16,14,19,2,8,1,43,20,30,23
degraded_ego,7,23,61,60,87,0.047540983606557376,2.8524590163934427,0.0,True,3.8579234972677594,6.0,61,1.0,5,0.08333333333333333,0.2511539323827459,5,29,52,60,3,15,28,21,20,1,16,14,19,2,8,1,39,16,42,23
ambiguous_local_context,7,23,61,60,96,0.05245901639344262,3.1475409836065573,0.010772833723653395,True,3.67103825136612,5.0,61,1.0,7,0.11666666666666667,0.24075329566855003,7,31,54,60,4,16,32,21,23,1,16,14,19,2,8,1,42,17,35,19
noisy_untrusted_external,7,23,61,60,91,0.04972677595628415,2.9836065573770494,0.060109289617486336,True,3.8360655737704916,6.0,61,1.0,7,0.11666666666666667,0.2977302923890792,7,31,54,60,3,16,33,17,22,1,16,14,19,2,8,1,40,20,27,21
nominal,7,24,61,60,90,0.04918032786885246,2.9508196721311477,0.013153786104605778,True,3.7158469945355193,5.0,61,1.0,8,0.13333333333333333,0.3355111649179447,8,32,55,60,3,15,31,25,16,1,16,14,19,2,8,1,37,21,34,25
degraded_ego,7,24,61,60,97,0.053005464480874315,3.180327868852459,0.05792349726775956,True,3.6327868852459018,5.0,61,1.0,6,0.1,0.19548067437897942,6,30,53,60,3,17,32,22,23,1,16,14,19,2,8,1,40,19,39,20
ambiguous_local_context,7,24,61,60,102,0.05573770491803279,3.3442622950819674,0.027985948477751755,True,3.4311475409836065,5.0,61,1.0,7,0.11666666666666667,0.17931665321495838,7,31,54,60,3,20,31,28,20,1,16,14,19,2,8,1,44,23,43,19
