scenario,seed,episode,relation_type,edge_count,edge_share,relation_utility
degraded_ego,7,6,OOR,3,0.03,1.0
degraded_ego,7,6,CLOR,13,0.13,0.8
degraded_ego,7,6,CWOR,33,0.33,0.8
degraded_ego,7,6,SOR,31,0.31,0.6
degraded_ego,7,6,POR,20,0.2,0.5
ambiguous_local_context,7,6,OOR,3,0.030612244897959183,1.0
ambiguous_local_context,7,6,CLOR,12,0.12244897959183673,0.8
ambiguous_local_context,7,6,CWOR,32,0.32653061224489793,0.8
ambiguous_local_context,7,6,SOR,31,0.3163265306122449,0.6
ambiguous_local_context,7,6,POR,20,0.20408163265306123,0.5
noisy_untrusted_external,7,6,OOR,3,0.029411764705882353,1.0
noisy_untrusted_external,7,6,CLOR,18,0.17647058823529413,0.8
noisy_untrusted_external,7,6,CWOR,30,0.29411764705882354,0.8
noisy_untrusted_external,7,6,SOR,30,0.29411764705882354,0.6
noisy_untrusted_external,7,6,POR,21,0.20588235294117646,0.5
nominal,7,7,OOR,4,0.0425531914893617,1.0
nominal,7,7,CLOR,11,0.11702127659574468,0.8
nominal,7,7,CWOR,31,0.32978723404255317,0.8
nominal,7,7,SOR,21,0.22340425531914893,0.6
nominal,7,7,POR,27,0.2872340425531915,0.5
degraded_ego,7,7,OOR,3,0.029411764705882353,1.0
degraded_ego,7,7,CLOR,25,0.24509803921568626,0.8
degraded_ego,7,7,CWOR,26,0.2549019607843137,0.8
degraded_ego,7,7,SOR,29,0.28431372549019607,0.6
degraded_ego,7,7,POR,19,0.18627450980392157,0.5
ambiguous_local_context,7,7,OOR,3,0.0297029702970297,1.0
ambiguous_local_context,7,7,CLOR,17,0.16831683168316833,0.8
ambiguous_local_context,7,7,CWOR,33,0.32673267326732675,0.8
ambiguous_local_context,7,7,SOR,33,0.32673267326732675,0.6
ambiguous_local_context,7,7,POR,15,0.1485148514851485,0.5
noisy_untrusted_external,7,7,OOR,3,0.03571428571428571,1.0
noisy_untrusted_external,7,7,CLOR,11,0.13095238095238096,0.8
noisy_untrusted_external,7,7,CWOR,25,0.2976190476190476,0.8
noisy_untrusted_external,7,7,SOR,27,0.32142857142857145,0.6
noisy_untrusted_external,7,7,POR,18,0.21428571428571427,0.5
nominal,7,8,OOR,3,0.03225806451612903,1.0
nominal,7,8,CLOR,15,0.16129032258064516,0.8
nominal,7,8,CWOR,34,0.3655913978494624,0.8
