scenario,previous_context_tuple,next_context_tuple,transition_count,transition_share
ambiguous_local_context,transit|commuting|high|degraded,home|resting|medium|nominal,11,0.0009361702127659575
ambiguous_local_context,transit|commuting|high|nominal,office|interacting|high|nominal,11,0.0009361702127659575
ambiguous_local_context,transit|commuting|medium|degraded,transit|commuting|medium|nominal,11,0.0009361702127659575
ambiguous_local_context,home|focused_work|high|nominal,home|resting|medium|nominal,10,0.000851063829787234
ambiguous_local_context,home|focused_work|medium|nominal,home|focused_work|low|nominal,10,0.000851063829787234
ambiguous_local_context,home|focused_work|medium|nominal,home|focused_work|medium|nominal,10,0.000851063829787234
ambiguous_local_context,home|resting|low|nominal,home|resting|high|degraded,10,0.000851063829787234
ambiguous_local_context,home|resting|medium|degraded,home|resting|medium|nominal,10,0.000851063829787234
ambiguous_local_context,home|resting|medium|nominal,home|focused_work|medium|nominal,10,0.000851063829787234
ambiguous_local_context,home|waiting|low|nominal,home|resting|medium|nominal,10,0.000851063829787234
ambiguous_local_context,meeting_room|focused_work|high|nominal,office|focused_work|medium|nominal,10,0.000851063829787234
ambiguous_local_context,meeting_room|focused_work|medium|nominal,meeting_room|focused_work|medium|nominal,10,0.000851063829787234
ambiguous_local_context,meeting_room|focused_work|medium|nominal,office|interacting|medium|nominal,10,0.000851063829787234
ambiguous_local_context,meeting_room|interacting|high|nominal,office|interacting|medium|nominal,10,0.000851063829787234
ambiguous_local_context,meeting_room|interacting|medium|nominal,meeting_room|focused_work|low|nominal,10,0.000851063829787234
ambiguous_local_context,meeting_room|interacting|medium|nominal,office|focused_work|low|nominal,10,0.000851063829787234
ambiguous_local_context,meeting_room|interacting|medium|nominal,office|interacting|high|nominal,10,0.000851063829787234
ambiguous_local_context,office|focused_work|low|nominal,office|interacting|high|degraded,10,0.000851063829787234
ambiguous_local_context,office|focused_work|medium|nominal,meeting_room|focused_work|low|nominal,10,0.000851063829787234
ambiguous_local_context,office|focused_work|medium|nominal,meeting_room|interacting|medium|nominal,10,0.000851063829787234
ambiguous_local_context,office|focused_work|medium|nominal,transit|commuting|high|nominal,10,0.000851063829787234
ambiguous_local_context,office|interacting|high|degraded,office|focused_work|medium|nominal,10,0.000851063829787234
ambiguous_local_context,office|interacting|high|nominal,office|focused_work|high|nominal,10,0.000851063829787234
ambiguous_local_context,office|interacting|medium|nominal,transit|commuting|high|sparse,10,0.000851063829787234
ambiguous_local_context,transit|commuting|medium|sparse,transit|commuting|high|nominal,10,0.000851063829787234
ambiguous_local_context,home|focused_work|low|nominal,home|resting|medium|nominal,9,0.0007659574468085106
ambiguous_local_context,home|resting|high|nominal,home|waiting|medium|nominal,9,0.0007659574468085106
ambiguous_local_context,home|resting|medium|nominal,home|interacting|medium|nominal,9,0.0007659574468085106
ambiguous_local_context,home|resting|medium|nominal,office|interacting|medium|nominal,9,0.0007659574468085106
ambiguous_local_context,home|resting|medium|nominal,transit|commuting|medium|nominal,9,0.0007659574468085106
ambiguous_local_context,home|waiting|high|nominal,home|resting|low|nominal,9,0.0007659574468085106
ambiguous_local_context,meeting_room|focused_work|high|degraded,office|interacting|low|nominal,9,0.0007659574468085106
ambiguous_local_context,meeting_room|focused_work|high|nominal,office|interacting|medium|nominal,9,0.0007659574468085106
ambiguous_local_context,meeting_room|focused_work|low|nominal,office|focused_work|medium|nominal,9,0.0007659574468085106
ambiguous_local_context,meeting_room|interacting|high|nominal,meeting_room|focused_work|high|nominal,9,0.0007659574468085106
ambiguous_local_context,meeting_room|interacting|high|nominal,office|focused_work|medium|nominal,9,0.0007659574468085106
ambiguous_local_context,meeting_room|interacting|medium|nominal,meeting_room|interacting|medium|nominal,9,0.0007659574468085106
ambiguous_local_context,office|focused_work|high|nominal,office|focused_work|high|nominal,9,0.0007659574468085106
ambiguous_local_context,office|focused_work|low|nominal,meeting_room|interacting|medium|nominal,9,0.0007659574468085106
ambiguous_local_context,office|focused_work|low|nominal,office|focused_work|high|nominal,9,0.0007659574468085106
ambiguous_local_context,office|focused_work|low|nominal,transit|commuting|medium|nominal,9,0.0007659574468085106
ambiguous_local_context,office|focused_work|medium|nominal,office|interacting|medium|degraded,9,0.0007659574468085106
ambiguous_local_context,office|focused_work|medium|nominal,transit|commuting|medium|nominal,9,0.0007659574468085106
ambiguous_local_context,office|interacting|high|degraded,office|interacting|high|nominal,9,0.0007659574468085106
ambiguous_local_context,office|interacting|high|nominal,office|focused_work|medium|sparse,9,0.0007659574468085106
ambiguous_local_context,office|interacting|high|nominal,office|interacting|high|degraded,9,0.0007659574468085106
ambiguous_local_context,office|interacting|high|nominal,office|interacting|low|nominal,9,0.0007659574468085106
ambiguous_local_context,office|interacting|medium|nominal,office|focused_work|medium|degraded,9,0.0007659574468085106
ambiguous_local_context,office|resting|medium|nominal,office|focused_work|medium|nominal,9,0.0007659574468085106
ambiguous_local_context,public_place|interacting|high|nominal,public_place|waiting|high|nominal,9,0.0007659574468085106
ambiguous_local_context,public_place|interacting|medium|nominal,public_place|interacting|high|nominal,9,0.0007659574468085106
ambiguous_local_context,public_place|interacting|medium|nominal,public_place|interacting|medium|nominal,9,0.0007659574468085106
ambiguous_local_context,public_place|interacting|medium|nominal,public_place|waiting|high|nominal,9,0.0007659574468085106
ambiguous_local_context,public_place|interacting|medium|nominal,public_place|waiting|medium|nominal,9,0.0007659574468085106
ambiguous_local_context,public_place|waiting|medium|nominal,public_place|waiting|high|nominal,9,0.0007659574468085106
ambiguous_local_context,transit|commuting|high|degraded,office|focused_work|low|nominal,9,0.0007659574468085106
ambiguous_local_context,transit|commuting|medium|nominal,public_place|commuting|medium|nominal,9,0.0007659574468085106
ambiguous_local_context,home|focused_work|medium|nominal,home|resting|high|nominal,8,0.0006808510638297873
ambiguous_local_context,home|resting|high|nominal,transit|commuting|medium|nominal,8,0.0006808510638297873
ambiguous_local_context,home|resting|high|sparse,home|resting|medium|nominal,8,0.0006808510638297873
ambiguous_local_context,home|resting|low|nominal,home|resting|low|degraded,8,0.0006808510638297873
ambiguous_local_context,home|resting|medium|nominal,office|focused_work|medium|nominal,8,0.0006808510638297873
ambiguous_local_context,home|resting|medium|nominal,transit|commuting|medium|sparse,8,0.0006808510638297873
ambiguous_local_context,home|waiting|low|nominal,home|waiting|high|nominal,8,0.0006808510638297873
ambiguous_local_context,home|waiting|medium|nominal,home|resting|high|nominal,8,0.0006808510638297873
ambiguous_local_context,home|waiting|medium|nominal,home|resting|low|nominal,8,0.0006808510638297873
ambiguous_local_context,meeting_room|focused_work|high|nominal,office|focused_work|low|nominal,8,0.0006808510638297873
ambiguous_local_context,meeting_room|focused_work|medium|nominal,meeting_room|focused_work|high|nominal,8,0.0006808510638297873
ambiguous_local_context,meeting_room|focused_work|medium|nominal,meeting_room|interacting|high|nominal,8,0.0006808510638297873
ambiguous_local_context,meeting_room|interacting|high|nominal,meeting_room|interacting|high|nominal,8,0.0006808510638297873
ambiguous_local_context,meeting_room|interacting|medium|nominal,meeting_room|focused_work|medium|nominal,8,0.0006808510638297873
ambiguous_local_context,meeting_room|interacting|medium|nominal,meeting_room|interacting|high|nominal,8,0.0006808510638297873
ambiguous_local_context,meeting_room|interacting|medium|nominal,meeting_room|interacting|low|nominal,8,0.0006808510638297873
ambiguous_local_context,office|focused_work|high|degraded,office|focused_work|medium|nominal,8,0.0006808510638297873
ambiguous_local_context,office|focused_work|high|nominal,meeting_room|interacting|high|nominal,8,0.0006808510638297873
ambiguous_local_context,office|focused_work|high|nominal,office|interacting|high|nominal,8,0.0006808510638297873
ambiguous_local_context,office|focused_work|high|sparse,office|focused_work|low|nominal,8,0.0006808510638297873
ambiguous_local_context,office|focused_work|low|nominal,meeting_room|focused_work|high|nominal,8,0.0006808510638297873
ambiguous_local_context,office|focused_work|low|nominal,meeting_room|focused_work|medium|nominal,8,0.0006808510638297873
ambiguous_local_context,office|focused_work|low|nominal,office|interacting|high|sparse,8,0.0006808510638297873
ambiguous_local_context,office|focused_work|low|nominal,transit|commuting|high|nominal,8,0.0006808510638297873
ambiguous_local_context,office|focused_work|low|sparse,office|focused_work|medium|nominal,8,0.0006808510638297873
ambiguous_local_context,office|focused_work|medium|degraded,office|interacting|medium|nominal,8,0.0006808510638297873
ambiguous_local_context,office|focused_work|medium|nominal,office|focused_work|medium|sparse,8,0.0006808510638297873
ambiguous_local_context,office|interacting|high|degraded,office|interacting|low|nominal,8,0.0006808510638297873
ambiguous_local_context,office|interacting|high|nominal,meeting_room|interacting|medium|nominal,8,0.0006808510638297873
ambiguous_local_context,office|interacting|high|nominal,office|waiting|medium|nominal,8,0.0006808510638297873
ambiguous_local_context,office|interacting|low|nominal,meeting_room|focused_work|medium|nominal,8,0.0006808510638297873
ambiguous_local_context,office|interacting|medium|nominal,office|focused_work|high|degraded,8,0.0006808510638297873
ambiguous_local_context,office|interacting|medium|nominal,office|resting|medium|nominal,8,0.0006808510638297873
ambiguous_local_context,office|waiting|medium|nominal,office|interacting|medium|nominal,8,0.0006808510638297873
ambiguous_local_context,public_place|waiting|high|nominal,public_place|interacting|high|nominal,8,0.0006808510638297873
ambiguous_local_context,public_place|waiting|high|nominal,public_place|waiting|high|degraded,8,0.0006808510638297873
ambiguous_local_context,public_place|waiting|high|nominal,public_place|waiting|medium|nominal,8,0.0006808510638297873
ambiguous_local_context,public_place|waiting|high|nominal,transit|waiting|high|nominal,8,0.0006808510638297873
ambiguous_local_context,public_place|waiting|medium|nominal,public_place|interacting|high|nominal,8,0.0006808510638297873
ambiguous_local_context,public_place|waiting|medium|nominal,transit|commuting|high|sparse,8,0.0006808510638297873
