scenario,seed,episode,candidate_sources_within_1_hop,candidate_sources_within_2_hop,candidate_sources_within_3_hop,candidate_sources_within_4_hop
noisy_untrusted_external,11,32,7,31,54,60
nominal,11,33,7,31,54,60
degraded_ego,11,33,7,31,54,60
ambiguous_local_context,11,33,6,30,53,60
noisy_untrusted_external,11,33,7,31,54,60
nominal,11,34,5,29,52,60
degraded_ego,11,34,6,30,53,60
ambiguous_local_context,11,34,6,30,53,60
noisy_untrusted_external,11,34,6,30,53,60
nominal,11,35,7,31,54,60
degraded_ego,11,35,7,31,54,60
ambiguous_local_context,11,35,6,30,53,60
noisy_untrusted_external,11,35,5,29,52,60
nominal,11,36,7,31,54,60
degraded_ego,11,36,7,31,54,60
ambiguous_local_context,11,36,8,32,55,60
noisy_untrusted_external,11,36,8,32,55,60
nominal,11,37,6,30,53,60
degraded_ego,11,37,6,30,53,60
ambiguous_local_context,11,37,7,31,54,60
noisy_untrusted_external,11,37,6,30,53,60
nominal,11,38,6,30,53,60
degraded_ego,11,38,5,29,52,60
ambiguous_local_context,11,38,6,30,53,60
noisy_untrusted_external,11,38,8,32,55,60
nominal,11,39,6,30,53,60
degraded_ego,11,39,8,32,55,60
ambiguous_local_context,11,39,7,31,54,60
noisy_untrusted_external,11,39,5,29,52,60
nominal,11,40,5,29,52,60
degraded_ego,11,40,7,31,54,60
ambiguous_local_context,11,40,8,32,55,60
noisy_untrusted_external,11,40,7,31,54,60
nominal,11,41,6,30,53,60
degraded_ego,11,41,7,31,54,60
ambiguous_local_context,11,41,7,31,54,60
noisy_untrusted_external,11,41,5,29,52,60
nominal,11,42,5,29,52,60
degraded_ego,11,42,8,32,55,60
ambiguous_local_context,11,42,7,31,54,60
noisy_untrusted_external,11,42,7,31,54,60
nominal,11,43,7,31,54,60
degraded_ego,11,43,6,30,53,60
ambiguous_local_context,11,43,7,31,54,60
noisy_untrusted_external,11,43,5,29,52,60
nominal,11,44,8,32,55,60
degraded_ego,11,44,6,30,53,60
ambiguous_local_context,11,44,8,32,55,60
noisy_untrusted_external,11,44,6,30,53,60
nominal,11,45,8,32,55,60
degraded_ego,11,45,7,31,54,60
ambiguous_local_context,11,45,5,29,52,60
noisy_untrusted_external,11,45,6,30,53,60
nominal,11,46,6,30,53,60
degraded_ego,11,46,8,32,55,60
ambiguous_local_context,11,46,8,32,55,60
noisy_untrusted_external,11,46,5,29,52,60
nominal,11,47,6,30,53,60
degraded_ego,11,47,8,32,55,60
ambiguous_local_context,11,47,8,32,55,60
noisy_untrusted_external,11,47,6,30,53,60
nominal,11,48,5,29,52,60
degraded_ego,11,48,7,31,54,60
ambiguous_local_context,11,48,6,30,53,60
noisy_untrusted_external,11,48,6,30,53,60
nominal,11,49,5,29,52,60
degraded_ego,11,49,8,32,55,60
ambiguous_local_context,11,49,6,30,53,60
noisy_untrusted_external,11,49,6,30,53,60
nominal,13,0,7,31,54,60
degraded_ego,13,0,6,30,53,60
ambiguous_local_context,13,0,5,29,52,60
noisy_untrusted_external,13,0,6,30,53,60
nominal,13,1,6,30,53,60
degraded_ego,13,1,8,32,55,60
ambiguous_local_context,13,1,8,32,55,60
noisy_untrusted_external,13,1,7,31,54,60
nominal,13,2,7,31,54,60
degraded_ego,13,2,6,30,53,60
ambiguous_local_context,13,2,7,31,54,60
noisy_untrusted_external,13,2,6,30,53,60
nominal,13,3,6,30,53,60
degraded_ego,13,3,8,32,55,60
ambiguous_local_context,13,3,6,30,53,60
noisy_untrusted_external,13,3,7,31,54,60
nominal,13,4,5,29,52,60
degraded_ego,13,4,7,31,54,60
ambiguous_local_context,13,4,7,31,54,60
noisy_untrusted_external,13,4,7,31,54,60
nominal,13,5,6,30,53,60
degraded_ego,13,5,5,29,52,60
ambiguous_local_context,13,5,6,30,53,60
noisy_untrusted_external,13,5,8,32,55,60
nominal,13,6,6,30,53,60
degraded_ego,13,6,8,32,55,60
ambiguous_local_context,13,6,5,29,52,60
noisy_untrusted_external,13,6,7,31,54,60
nominal,13,7,6,30,53,60
degraded_ego,13,7,7,31,54,60
ambiguous_local_context,13,7,8,32,55,60
noisy_untrusted_external,13,7,6,30,53,60
nominal,13,8,8,32,55,60
degraded_ego,13,8,7,31,54,60
ambiguous_local_context,13,8,6,30,53,60
noisy_untrusted_external,13,8,8,32,55,60
nominal,13,9,6,30,53,60
degraded_ego,13,9,8,32,55,60
ambiguous_local_context,13,9,5,29,52,60
noisy_untrusted_external,13,9,7,31,54,60
nominal,13,10,8,32,55,60
degraded_ego,13,10,8,32,55,60
ambiguous_local_context,13,10,7,31,54,60
noisy_untrusted_external,13,10,8,32,55,60
nominal,13,11,8,32,55,60
degraded_ego,13,11,5,29,52,60
ambiguous_local_context,13,11,6,30,53,60
noisy_untrusted_external,13,11,8,32,55,60
nominal,13,12,7,31,54,60
degraded_ego,13,12,8,32,55,60
ambiguous_local_context,13,12,8,32,55,60
noisy_untrusted_external,13,12,8,32,55,60
nominal,13,13,5,29,52,60
degraded_ego,13,13,8,32,55,60
ambiguous_local_context,13,13,7,31,54,60
noisy_untrusted_external,13,13,7,31,54,60
nominal,13,14,8,32,55,60
degraded_ego,13,14,8,32,55,60
ambiguous_local_context,13,14,5,29,52,60
noisy_untrusted_external,13,14,5,29,52,60
nominal,13,15,5,29,52,60
degraded_ego,13,15,7,31,54,60
ambiguous_local_context,13,15,7,31,54,60
noisy_untrusted_external,13,15,5,29,52,60
nominal,13,16,7,31,54,60
degraded_ego,13,16,6,30,53,60
ambiguous_local_context,13,16,6,30,53,60
noisy_untrusted_external,13,16,6,30,53,60
nominal,13,17,5,29,52,60
degraded_ego,13,17,7,31,54,60
ambiguous_local_context,13,17,8,32,55,60
noisy_untrusted_external,13,17,8,32,55,60
nominal,13,18,5,29,52,60
degraded_ego,13,18,5,29,52,60
ambiguous_local_context,13,18,8,32,55,60
noisy_untrusted_external,13,18,5,29,52,60
nominal,13,19,5,29,52,60
degraded_ego,13,19,8,32,55,60
ambiguous_local_context,13,19,7,31,54,60
noisy_untrusted_external,13,19,6,30,53,60
nominal,13,20,7,31,54,60
degraded_ego,13,20,5,29,52,60
ambiguous_local_context,13,20,8,32,55,60
noisy_untrusted_external,13,20,8,32,55,60
nominal,13,21,5,29,52,60
degraded_ego,13,21,7,31,54,60
ambiguous_local_context,13,21,5,29,52,60
noisy_untrusted_external,13,21,7,31,54,60
nominal,13,22,7,31,54,60
degraded_ego,13,22,5,29,52,60
ambiguous_local_context,13,22,6,30,53,60
noisy_untrusted_external,13,22,8,32,55,60
nominal,13,23,5,29,52,60
degraded_ego,13,23,8,32,55,60
ambiguous_local_context,13,23,8,32,55,60
noisy_untrusted_external,13,23,8,32,55,60
nominal,13,24,7,31,54,60
degraded_ego,13,24,6,30,53,60
ambiguous_local_context,13,24,6,30,53,60
noisy_untrusted_external,13,24,5,29,52,60
nominal,13,25,8,32,55,60
degraded_ego,13,25,5,29,52,60
ambiguous_local_context,13,25,8,32,55,60
noisy_untrusted_external,13,25,7,31,54,60
nominal,13,26,8,32,55,60
degraded_ego,13,26,6,30,53,60
ambiguous_local_context,13,26,6,30,53,60
noisy_untrusted_external,13,26,5,29,52,60
nominal,13,27,5,29,52,60
degraded_ego,13,27,8,32,55,60
ambiguous_local_context,13,27,8,32,55,60
noisy_untrusted_external,13,27,5,29,52,60
nominal,13,28,5,29,52,60
degraded_ego,13,28,5,29,52,60
ambiguous_local_context,13,28,6,30,53,60
noisy_untrusted_external,13,28,6,30,53,60
nominal,13,29,7,31,54,60
degraded_ego,13,29,7,31,54,60
ambiguous_local_context,13,29,7,31,54,60
noisy_untrusted_external,13,29,8,32,55,60
nominal,13,30,6,30,53,60
degraded_ego,13,30,5,29,52,60
ambiguous_local_context,13,30,5,29,52,60
noisy_untrusted_external,13,30,7,31,54,60
nominal,13,31,8,32,55,60
