scenario,policy,policy_label,seed,episode,overall_context_accuracy
nominal,opportunistic_all,Opportunistic all,7,39,0.7083333333333334
nominal,opportunistic_all,Opportunistic all,7,40,0.7291666666666666
nominal,opportunistic_all,Opportunistic all,7,41,0.7708333333333334
nominal,opportunistic_all,Opportunistic all,7,42,0.4583333333333333
nominal,opportunistic_all,Opportunistic all,7,43,0.7083333333333334
nominal,opportunistic_all,Opportunistic all,7,44,0.8333333333333334
nominal,opportunistic_all,Opportunistic all,7,45,0.8125
nominal,opportunistic_all,Opportunistic all,7,46,0.75
nominal,opportunistic_all,Opportunistic all,7,47,0.875
nominal,opportunistic_all,Opportunistic all,7,48,0.8958333333333334
nominal,opportunistic_all,Opportunistic all,7,49,0.7291666666666666
nominal,opportunistic_all,Opportunistic all,11,0,0.7708333333333334
nominal,opportunistic_all,Opportunistic all,11,1,0.7708333333333334
nominal,opportunistic_all,Opportunistic all,11,2,0.875
nominal,opportunistic_all,Opportunistic all,11,3,0.8333333333333334
nominal,opportunistic_all,Opportunistic all,11,4,0.7708333333333334
nominal,opportunistic_all,Opportunistic all,11,5,0.8333333333333334
nominal,opportunistic_all,Opportunistic all,11,6,0.8541666666666666
nominal,opportunistic_all,Opportunistic all,11,7,0.7708333333333334
nominal,opportunistic_all,Opportunistic all,11,8,0.7083333333333334
nominal,opportunistic_all,Opportunistic all,11,9,0.8541666666666666
nominal,opportunistic_all,Opportunistic all,11,10,0.7916666666666666
nominal,opportunistic_all,Opportunistic all,11,11,0.6666666666666666
nominal,opportunistic_all,Opportunistic all,11,12,0.8541666666666666
nominal,opportunistic_all,Opportunistic all,11,13,0.9583333333333334
nominal,opportunistic_all,Opportunistic all,11,14,0.875
nominal,opportunistic_all,Opportunistic all,11,15,0.7916666666666666
nominal,opportunistic_all,Opportunistic all,11,16,0.8958333333333334
nominal,opportunistic_all,Opportunistic all,11,17,0.8541666666666666
nominal,opportunistic_all,Opportunistic all,11,18,0.7083333333333334
nominal,opportunistic_all,Opportunistic all,11,19,0.8125
nominal,opportunistic_all,Opportunistic all,11,20,0.7708333333333334
nominal,opportunistic_all,Opportunistic all,11,21,0.8333333333333334
nominal,opportunistic_all,Opportunistic all,11,22,0.8125
nominal,opportunistic_all,Opportunistic all,11,23,0.9375
nominal,opportunistic_all,Opportunistic all,11,24,0.6666666666666666
nominal,opportunistic_all,Opportunistic all,11,25,0.8125
nominal,opportunistic_all,Opportunistic all,11,26,0.7916666666666666
nominal,opportunistic_all,Opportunistic all,11,27,0.7916666666666666
nominal,opportunistic_all,Opportunistic all,11,28,0.9166666666666666
nominal,opportunistic_all,Opportunistic all,11,29,0.7291666666666666
nominal,opportunistic_all,Opportunistic all,11,30,0.8333333333333334
nominal,opportunistic_all,Opportunistic all,11,31,0.7708333333333334
