scenario,policy,policy_label,discovery_mode,parameter_name,parameter_value,OCA,MVA,Macro_F1_mean,mean_sources,mean_discovery_cost,mean_recruitment_cost,mean_selection_cost,mean_total_operational_cost,mean_latency_proxy,mean_privacy_cost,latency_proxy,privacy_cost,OCA_per_total_cost,adaptive_activation_rate
ambiguous_local_context,siot_aware_trust_privacy,Privacy-aware SIoT,bounded_relationship_guided,graph_density,default,0.1640625,0.59765625,0.545582733271128,3.419270833333333,52.58229166666666,4.916465036481023,8.356770833333334,58.33443378648103,0.5707333437629594,1.0721612081170158,0.5707333437629594,1.0721612081170158,0.002812446943438429,0.2630208333333333
noisy_untrusted_external,ego_only,Ego-only,exhaustive_hop,graph_density,default,0.08854166666666666,0.5006510416666666,0.42518553032108486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08854166666666666,0.0
noisy_untrusted_external,opportunistic_all,Opportunistic all,exhaustive_hop,graph_density,default,0.29427083333333337,0.751953125,0.6872602244416441,53.1875,155.39374999999998,88.09969872013562,0.0,243.49344872013563,1.5439105867321792,8.224628565116452,1.5439105867321792,8.224628565116452,0.0012085369642596002,0.0
noisy_untrusted_external,siot_aware,SIoT-aware,bounded_relationship_guided,graph_density,default,0.1015625,0.5494791666666666,0.4858992250389432,1.9765625,51.340625,2.943792857539221,8.0,55.08441785753922,0.6449103925510373,0.6884293540445507,0.6449103925510373,0.6884293540445507,0.0018437609754298142,0.30989583333333337
noisy_untrusted_external,siot_aware_trust_privacy,Privacy-aware SIoT,bounded_relationship_guided,graph_density,default,0.09895833333333331,0.5423177083333333,0.4802706739535906,1.5130208333333335,51.340625,2.2524124096087252,8.0,54.39303740960873,0.6217233820603771,0.5248522828949822,0.6217233820603771,0.5248522828949822,0.001819319862358927,0.30989583333333337
degraded_ego,ego_only,Ego-only,exhaustive_hop,graph_density,dense,0.03125,0.353515625,0.2800222640358487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.0
degraded_ego,opportunistic_all,Opportunistic all,exhaustive_hop,graph_density,dense,0.7916666666666666,0.9453125,0.916255390885609,53.375,167.51874999999995,84.54664963392037,0.0,252.06539963392032,1.3291989956523493,8.445617702087185,1.3291989956523493,8.445617702087185,0.0031407193046583152,0.0
degraded_ego,siot_aware,SIoT-aware,bounded_relationship_guided,graph_density,dense,0.17447916666666669,0.6354166666666666,0.5908020560169971,4.2578125,51.924869791666666,6.052364857213458,8.0,58.777234648880125,0.6378572832083637,1.1114828539684463,0.6378572832083637,1.1114828539684463,0.0029684820612769507,0.703125
degraded_ego,siot_aware_trust_privacy,Privacy-aware SIoT,bounded_relationship_guided,graph_density,dense,0.171875,0.6204427083333333,0.5730063218946874,4.135416666666666,51.924869791666666,5.875825601884838,8.0,58.600695393551504,0.6390759723812022,1.0655839032119625,0.6390759723812022,1.0655839032119625,0.002932985672707791,0.703125
ambiguous_local_context,ego_only,Ego-only,exhaustive_hop,graph_density,dense,0.0703125,0.47265625,0.4115826474298713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0703125,0.0
ambiguous_local_context,opportunistic_all,Opportunistic all,exhaustive_hop,graph_density,dense,0.7421875,0.9329427083333333,0.9017570179895271,53.5,172.09687499999998,84.45196052961103,0.0,256.54883552961104,1.3164819688528422,8.399048571899357,1.3164819688528422,8.399048571899357,0.002892967720815619,0.0
ambiguous_local_context,siot_aware,SIoT-aware,bounded_relationship_guided,graph_density,dense,0.15885416666666669,0.609375,0.5561131928745788,3.3880208333333335,53.536458333333336,4.903528224584798,8.307291666666666,59.270715724584804,0.5838717368888053,1.0830594053040685,0.5838717368888053,1.0830594053040685,0.002680145915646094,0.2630208333333333
ambiguous_local_context,siot_aware_trust_privacy,Privacy-aware SIoT,bounded_relationship_guided,graph_density,dense,0.15625,0.5950520833333334,0.5421580844281328,3.2552083333333335,53.536458333333336,4.701533656861002,8.307291666666666,59.068721156861,0.5742818577390465,1.0408026976334812,0.5742818577390465,1.0408026976334812,0.002645224019410671,0.2630208333333333
noisy_untrusted_external,ego_only,Ego-only,exhaustive_hop,graph_density,dense,0.08854166666666666,0.5006510416666666,0.42518553032108486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08854166666666666,0.0
noisy_untrusted_external,opportunistic_all,Opportunistic all,exhaustive_hop,graph_density,dense,0.27604166666666663,0.7434895833333334,0.6753269433254974,53.1875,166.22499999999997,87.98587084184705,0.0,254.210870841847,1.5312937317948747,8.382934070249577,1.5312937317948747,8.382934070249577,0.001085876720191094,0.0
noisy_untrusted_external,siot_aware,SIoT-aware,bounded_relationship_guided,graph_density,dense,0.10416666666666666,0.5377604166666666,0.4775993066413725,2.0520833333333335,52.34153645833334,3.0555013143559755,8.0,56.19703777268931,0.6540887138821574,0.712871827670708,0.6540887138821574,0.712871827670708,0.0018535971075203125,0.30989583333333337
noisy_untrusted_external,siot_aware_trust_privacy,Privacy-aware SIoT,bounded_relationship_guided,graph_density,dense,0.09895833333333334,0.5364583333333333,0.47578276034396916,1.4921875,52.34153645833334,2.204364146906431,8.0,55.34590060523976,0.6257167270396897,0.5102070466487321,0.6257167270396897,0.5102070466487321,0.0017879975255830358,0.30989583333333337
