scenario,policy,policy_label,variable,macro_f1,ci95_low,ci95_high,aggregation_basis
degraded_ego,siot_aware_trust_privacy,Privacy-aware SIoT,env_load,0.5763879305371487,0.5613854907520602,0.590531228934308,seed_episode_combinations
degraded_ego,siot_aware_trust_privacy,Privacy-aware SIoT,place,0.587815927853744,0.5752808928221864,0.6002902228442776,seed_episode_combinations
degraded_ego,siot_aware_trust_privacy,Privacy-aware SIoT,resource_state,0.5855928094947838,0.5729031736509005,0.5978624095349491,seed_episode_combinations
ambiguous_local_context,ego_only,Ego-only,activity,0.3553084399096554,0.34519767122250256,0.3666260881255748,seed_episode_combinations
ambiguous_local_context,ego_only,Ego-only,env_load,0.5445570966914657,0.5344737835763888,0.5537049075948478,seed_episode_combinations
ambiguous_local_context,ego_only,Ego-only,place,0.30368732809165516,0.2950233806553806,0.3117745416359687,seed_episode_combinations
ambiguous_local_context,ego_only,Ego-only,resource_state,0.44849286109883413,0.4394332945994179,0.45830788622039287,seed_episode_combinations
ambiguous_local_context,opportunistic_all,Opportunistic all,activity,0.7992063786476046,0.7859822663444289,0.8117725564397152,seed_episode_combinations
ambiguous_local_context,opportunistic_all,Opportunistic all,env_load,0.9986894502053654,0.9978661416492501,0.9993954553153606,seed_episode_combinations
ambiguous_local_context,opportunistic_all,Opportunistic all,place,0.9905952891897102,0.9853362912522879,0.9949223525356811,seed_episode_combinations
ambiguous_local_context,opportunistic_all,Opportunistic all,resource_state,0.8861796099040371,0.8762982968009391,0.8949727350712386,seed_episode_combinations
ambiguous_local_context,siot_aware,SIoT-aware,activity,0.5317520226432804,0.5193592693788994,0.5443992642440107,seed_episode_combinations
ambiguous_local_context,siot_aware,SIoT-aware,env_load,0.644160932319403,0.6354847966712037,0.653140567174447,seed_episode_combinations
ambiguous_local_context,siot_aware,SIoT-aware,place,0.4812800704730564,0.47024266478186033,0.4916646386181231,seed_episode_combinations
ambiguous_local_context,siot_aware,SIoT-aware,resource_state,0.6241088350378791,0.6123787640659076,0.635737406356336,seed_episode_combinations
ambiguous_local_context,siot_aware_trust_privacy,Privacy-aware SIoT,activity,0.5093128655219415,0.4986197036759885,0.5202923284655758,seed_episode_combinations
ambiguous_local_context,siot_aware_trust_privacy,Privacy-aware SIoT,env_load,0.6398371463073628,0.6301802724281748,0.6499010340574548,seed_episode_combinations
ambiguous_local_context,siot_aware_trust_privacy,Privacy-aware SIoT,place,0.46120148533080246,0.45119322923735383,0.4713480064051179,seed_episode_combinations
ambiguous_local_context,siot_aware_trust_privacy,Privacy-aware SIoT,resource_state,0.6101823918992126,0.5992111867131003,0.6199429924199101,seed_episode_combinations
noisy_untrusted_external,ego_only,Ego-only,activity,0.4431210445595454,0.4331287285819029,0.45233198063209296,seed_episode_combinations
noisy_untrusted_external,ego_only,Ego-only,env_load,0.5034633170899795,0.4949648225146387,0.5127035476441852,seed_episode_combinations
noisy_untrusted_external,ego_only,Ego-only,place,0.45605280283262956,0.44520920409800185,0.4660202217343715,seed_episode_combinations
noisy_untrusted_external,ego_only,Ego-only,resource_state,0.4048616691797329,0.39596374151064384,0.4140003918916765,seed_episode_combinations
noisy_untrusted_external,opportunistic_all,Opportunistic all,activity,0.597223565746157,0.5858816668079534,0.6088619756976413,seed_episode_combinations
noisy_untrusted_external,opportunistic_all,Opportunistic all,env_load,0.8200902534342979,0.8131038710962379,0.828092347477195,seed_episode_combinations
noisy_untrusted_external,opportunistic_all,Opportunistic all,place,0.866912262468485,0.8573196687982243,0.875742268908915,seed_episode_combinations
noisy_untrusted_external,opportunistic_all,Opportunistic all,resource_state,0.5586355365128106,0.5467772235093538,0.5697822794558922,seed_episode_combinations
noisy_untrusted_external,siot_aware,SIoT-aware,activity,0.5170898811736379,0.5055995757233077,0.5285103803111285,seed_episode_combinations
noisy_untrusted_external,siot_aware,SIoT-aware,env_load,0.5164177188431438,0.5066596693599287,0.5260453539154268,seed_episode_combinations
noisy_untrusted_external,siot_aware,SIoT-aware,place,0.5189721279662585,0.5083472335251299,0.5291551364460265,seed_episode_combinations
noisy_untrusted_external,siot_aware,SIoT-aware,resource_state,0.4780579242056488,0.4670109124926198,0.48901547188641953,seed_episode_combinations
noisy_untrusted_external,siot_aware_trust_privacy,Privacy-aware SIoT,activity,0.5079834593631221,0.49674755798830345,0.5182388119579941,seed_episode_combinations
noisy_untrusted_external,siot_aware_trust_privacy,Privacy-aware SIoT,env_load,0.511501916967653,0.5024862133044593,0.5215025654724984,seed_episode_combinations
noisy_untrusted_external,siot_aware_trust_privacy,Privacy-aware SIoT,place,0.5123840921380841,0.5018935959109367,0.5227262434754819,seed_episode_combinations
noisy_untrusted_external,siot_aware_trust_privacy,Privacy-aware SIoT,resource_state,0.4761790976890272,0.4653039310866242,0.4861722612718938,seed_episode_combinations
