scenario,policy,policy_label,discovery_mode,episode,place,activity,env_load,resource_state,mean_variable_accuracy,overall_context_accuracy,nodes_visited,visited_node_count,traversed_edge_count,scored_candidate_count,candidate_variable_coverage_count,all_variables_covered_by_candidates,recruited_variable_coverage_count,all_variables_covered_by_recruited_sources,discovered_candidate_count,selected_source_count,estimated_latency,privacy_exposure_cost,discovery_cost,recruitment_cost,selection_cost,total_operational_cost,ego_missing_rate,convergence_time,adaptive_activation_rate,seed,macro_f1_place,macro_f1_activity,macro_f1_env_load,macro_f1_resource_state
nominal,ego_only,Ego-only,exhaustive_hop,6,0.625,0.625,0.5833333333333334,0.5833333333333334,0.6041666666666666,0.14583333333333334,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24479166666666666,2.911764705882353,0.0,11,0.509090909090909,0.6024955436720142,0.5536445536445537,0.5213675213675214
nominal,ego_only,Ego-only,exhaustive_hop,7,0.625,0.5833333333333334,0.5208333333333334,0.625,0.5885416666666666,0.1875,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.140625,2.975,0.0,11,0.6279239040529363,0.5819649122807017,0.5141695702671313,0.5049850448654039
nominal,ego_only,Ego-only,exhaustive_hop,8,0.625,0.6041666666666666,0.5625,0.5833333333333334,0.59375,0.125,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15104166666666666,5.8478260869565215,0.0,11,0.5603945926196565,0.6043467643467644,0.5645342312008979,0.5038456648868549
nominal,ego_only,Ego-only,exhaustive_hop,9,0.6041666666666666,0.5416666666666666,0.6666666666666666,0.6875,0.625,0.20833333333333334,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,2.2857142857142856,0.0,11,0.46453781512605047,0.4922657952069717,0.6596774872636941,0.5416725894337834
nominal,ego_only,Ego-only,exhaustive_hop,10,0.625,0.7083333333333334,0.7291666666666666,0.6666666666666666,0.6822916666666666,0.2916666666666667,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13541666666666666,2.1951219512195124,0.0,11,0.5815708230342377,0.6711296974724085,0.7150451887293992,0.4032616753150482
nominal,ego_only,Ego-only,exhaustive_hop,11,0.6041666666666666,0.5208333333333334,0.7708333333333334,0.5833333333333334,0.6197916666666666,0.14583333333333334,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19791666666666666,3.2285714285714286,0.0,11,0.6018713450292397,0.5001782531194296,0.7668219944082013,0.411353352529823
nominal,ego_only,Ego-only,exhaustive_hop,12,0.6666666666666666,0.6458333333333334,0.625,0.4375,0.59375,0.08333333333333333,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24479166666666666,6.411764705882353,0.0,11,0.6564012595591544,0.6434981684981685,0.6234567901234568,0.37183428487776315
nominal,ego_only,Ego-only,exhaustive_hop,13,0.7083333333333334,0.5833333333333334,0.6875,0.6458333333333334,0.65625,0.1875,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,3.9545454545454546,0.0,11,0.6039096850861557,0.5308333333333334,0.6696969696969696,0.47473714123330496
nominal,ego_only,Ego-only,exhaustive_hop,14,0.5833333333333334,0.6458333333333334,0.5625,0.6875,0.6197916666666666,0.16666666666666666,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14583333333333334,5.9523809523809526,0.0,11,0.5495798319327732,0.6234057971014493,0.5587583148558758,0.398972602739726
nominal,ego_only,Ego-only,exhaustive_hop,15,0.6458333333333334,0.6041666666666666,0.5208333333333334,0.5416666666666666,0.578125,0.14583333333333334,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24479166666666666,3.942857142857143,0.0,11,0.6452673992673993,0.5558974358974359,0.49996660655847197,0.42025089605734767
nominal,ego_only,Ego-only,exhaustive_hop,16,0.5833333333333334,0.6041666666666666,0.5,0.6041666666666666,0.5729166666666666,0.10416666666666667,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23958333333333334,5.181818181818182,0.0,11,0.5538375350140056,0.5280332056194125,0.45,0.5297619047619048
nominal,ego_only,Ego-only,exhaustive_hop,17,0.6041666666666666,0.5833333333333334,0.6875,0.6666666666666666,0.6354166666666666,0.20833333333333334,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19791666666666666,1.736842105263158,0.0,11,0.5579203405290362,0.5867532467532467,0.6778735256996127,0.4833333333333332
