scenario,policy,policy_label,metric,mean,ci95_low,ci95_high,std,median,min,max
nominal,siot_aware_trust_privacy,Privacy-aware SIoT,visited_node_count,9.33675,9.126664583333335,9.587183333333336,1.8565667028654682,9.0,9.0,19.979166666666668
nominal,siot_aware_trust_privacy,Privacy-aware SIoT,traversed_edge_count,34.08141666666667,33.84857291666666,34.33278541666667,2.0055774475984425,34.0,29.0,39.4375
nominal,siot_aware_trust_privacy,Privacy-aware SIoT,scored_candidate_count,8.14225,8.053077083333333,8.245425000000001,0.7846444041570749,8.0,8.0,12.625
nominal,siot_aware_trust_privacy,Privacy-aware SIoT,discovered_candidate_count,8.14225,8.053739583333334,8.2466,0.7846444041570749,8.0,8.0,12.625
nominal,siot_aware_trust_privacy,Privacy-aware SIoT,selected_source_count,2.9824166666666665,2.923327083333333,3.0468354166666667,0.5101274451733155,3.1875,1.1666666666666667,3.625
nominal,siot_aware_trust_privacy,Privacy-aware SIoT,estimated_latency,0.5681629325694556,0.5564092845476324,0.5797494577017706,0.09257689054724694,0.5664766100136661,0.29996395795343495,0.8356879873754117
nominal,siot_aware_trust_privacy,Privacy-aware SIoT,privacy_exposure_cost,0.9668067646818232,0.9440357268182572,0.9877447709630816,0.18752625379124627,1.0364663026898424,0.2947287361971374,1.2566157495012713
nominal,siot_aware_trust_privacy,Privacy-aware SIoT,discovery_cost,51.32710416666667,50.86901208333334,51.80881020833333,3.762184396525445,50.800000000000004,43.650000000000006,68.74374999999999
nominal,siot_aware_trust_privacy,Privacy-aware SIoT,recruitment_cost,4.308678621169416,4.219784979591098,4.395609309577931,0.7423066493102429,4.623042157388787,1.58333264365798,5.256455906372521
nominal,siot_aware_trust_privacy,Privacy-aware SIoT,selection_cost,8.14225,8.053747916666667,8.235545833333333,0.7846444041570749,8.0,8.0,12.625
nominal,siot_aware_trust_privacy,Privacy-aware SIoT,total_operational_cost,56.450007787836086,56.022236843171264,56.95019739916046,3.866984451916495,56.14438229436088,49.26683709747194,74.05071136836615
