experiment_tag,run_type,policy_id,policy,policy_label,discovery_mode,scenario,graph_size,episodes,timesteps,seeds,adaptive_enabled,bounded_discovery_enabled,OCA,MVA,mean_sources,mean_discovered_candidate_count,mean_visited_node_count,mean_traversed_edge_count,mean_scored_candidate_count,mean_total_operational_cost,mean_discovery_cost,mean_recruitment_cost,mean_privacy_cost,mean_latency_proxy,OCA_per_total_cost
scalability,scalability,opportunistic_all,opportunistic_all,Opportunistic all,exhaustive_hop,noisy_untrusted_external,60,12,48,"7,11,13",True,False,0.3101851851851851,0.7541956018518517,53.52777777777778,53.52777777777778,54.52777777777778,78.69444444444444,0.0,245.69424326443777,156.82083333333333,88.87340993110448,8.47187675064227,1.5473268416912802,0.0012624845460922603
scalability,scalability,siot_aware,siot_aware,SIoT-aware,bounded_relationship_guided,noisy_untrusted_external,60,12,48,"7,11,13",True,True,0.09432870370370369,0.5496238425925926,2.1614583333333335,8.0,9.0,34.45543981481481,8.0,55.57715697954686,51.555295138888894,3.221861840657963,0.7340782015850121,0.6800623830640669,0.0016972567297463222
scalability,scalability,siot_aware_trust_privacy,siot_aware_trust_privacy,Privacy-aware SIoT,bounded_relationship_guided,noisy_untrusted_external,60,12,48,"7,11,13",True,True,0.09432870370370369,0.5452835648148149,1.5179398148148147,8.0,9.0,34.45543981481481,8.0,54.59893763531851,51.555295138888894,2.2436424964296275,0.5042569074044406,0.6528733167605881,0.0017276655515488478
scalability,scalability,ego_only,ego_only,Ego-only,exhaustive_hop,nominal,200,12,48,"7,11,13",True,False,0.16319444444444448,0.5869502314814814,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16319444444444448
scalability,scalability,opportunistic_all,opportunistic_all,Opportunistic all,exhaustive_hop,nominal,200,12,48,"7,11,13",True,False,0.9971064814814814,0.9992766203703702,156.55555555555554,156.55555555555554,157.55555555555554,325.75,0.0,883.2796394076989,608.1597222222223,275.1199171854767,33.152598135231976,1.710039941008234,0.0011288684092730943
scalability,scalability,siot_aware,siot_aware,SIoT-aware,bounded_relationship_guided,nominal,200,12,48,"7,11,13",True,True,0.24421296296296294,0.6879340277777777,3.1793981481481475,8.262152777777779,9.357060185185185,57.68807870370371,8.262152777777779,88.05612651315934,82.60176504629626,4.6281461890852675,1.0313599010788352,0.5993051088058325,0.002773378442060668
scalability,scalability,siot_aware_trust_privacy,siot_aware_trust_privacy,Privacy-aware SIoT,bounded_relationship_guided,nominal,200,12,48,"7,11,13",True,True,0.2268518518518519,0.6739004629629629,2.965856481481481,8.262152777777779,9.357060185185185,57.68807870370371,8.262152777777779,87.72525164042901,82.60176504629626,4.297271316354938,0.9577108445526196,0.5795668173126776,0.002585935607020876
scalability,scalability,ego_only,ego_only,Ego-only,exhaustive_hop,degraded_ego,200,12,48,"7,11,13",True,False,0.026041666666666668,0.3488136574074075,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026041666666666668
scalability,scalability,opportunistic_all,opportunistic_all,Opportunistic all,exhaustive_hop,degraded_ego,200,12,48,"7,11,13",True,False,0.9971064814814814,0.9992766203703702,156.63888888888889,156.63888888888889,157.63888888888889,327.1666666666667,0.0,886.7549801273715,610.5527777777778,276.2022023495938,33.09643322972,1.7281072077766986,0.0011244441856286607
scalability,scalability,siot_aware,siot_aware,SIoT-aware,bounded_relationship_guided,degraded_ego,200,12,48,"7,11,13",True,True,0.1608796296296296,0.6206597222222222,4.166087962962962,8.0,9.0,60.02372685185186,8.0,92.381536301409,85.67120949074074,5.910326810668281,1.113267785051862,0.6172678897250181,0.00174146951945825
scalability,scalability,siot_aware_trust_privacy,siot_aware_trust_privacy,Privacy-aware SIoT,bounded_relationship_guided,degraded_ego,200,12,48,"7,11,13",True,True,0.14641203703703703,0.6102430555555555,4.072916666666667,8.0,9.0,60.02372685185186,8.0,92.24336516387812,85.67120949074074,5.772155673137426,1.0863356245398252,0.6122135068035046,0.001587236510473395
scalability,scalability,ego_only,ego_only,Ego-only,exhaustive_hop,ambiguous_local_context,200,12,48,"7,11,13",True,False,0.057291666666666664,0.4674479166666667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057291666666666664
scalability,scalability,opportunistic_all,opportunistic_all,Opportunistic all,exhaustive_hop,ambiguous_local_context,200,12,48,"7,11,13",True,False,0.995949074074074,0.9988425925925924,156.27777777777777,156.27777777777777,157.27777777777777,327.3611111111111,0.0,886.6052862178427,611.2541666666667,275.35111955117594,33.38549965548683,1.7191705394790688,0.0011233285990462332
scalability,scalability,siot_aware,siot_aware,SIoT-aware,bounded_relationship_guided,ambiguous_local_context,200,12,48,"7,11,13",True,True,0.13599537037037035,0.6067708333333334,3.3420138888888884,8.0,9.0,55.69675925925927,8.0,85.097361775306,79.47019675925925,4.827165016046763,1.0468859293503485,0.5897245808994551,0.0015981150006677905
