scenario,policy,policy_label,discovery_mode,parameter_name,parameter_value,OCA,MVA,Macro_F1_mean,mean_sources,mean_discovery_cost,mean_recruitment_cost,mean_selection_cost,mean_total_operational_cost,mean_latency_proxy,mean_privacy_cost,latency_proxy,privacy_cost,OCA_per_total_cost,adaptive_activation_rate
ambiguous_local_context,opportunistic_all,Opportunistic all,exhaustive_hop,selection_cap,2,0.7369791666666666,0.9264322916666666,0.8916643071051212,53.5,159.1625,84.60097790204156,0.0,243.7634779020416,1.315294896092385,8.621603095896727,1.315294896092385,8.621603095896727,0.003023337101232318,0.0
ambiguous_local_context,siot_aware,SIoT-aware,bounded_relationship_guided,selection_cap,2,0.12760416666666666,0.5865885416666666,0.5350699004890287,2.7369791666666665,52.58229166666666,3.965328138378389,8.356770833333334,57.38329688837838,0.531718213340144,0.9534217712121691,0.531718213340144,0.9534217712121691,0.0022237161959320923,0.2630208333333333
ambiguous_local_context,siot_aware_trust_privacy,Privacy-aware SIoT,bounded_relationship_guided,selection_cap,2,0.12499999999999999,0.5651041666666667,0.5145343649985329,2.7369791666666665,52.58229166666666,3.966808566868704,8.356770833333334,57.3847773168687,0.5406227040388756,0.9470848178804397,0.5406227040388756,0.9470848178804397,0.0021782780354757127,0.2630208333333333
noisy_untrusted_external,ego_only,Ego-only,exhaustive_hop,selection_cap,2,0.08854166666666666,0.5006510416666666,0.42518553032108486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08854166666666666,0.0
noisy_untrusted_external,opportunistic_all,Opportunistic all,exhaustive_hop,selection_cap,2,0.29427083333333337,0.751953125,0.6872602244416441,53.1875,155.39374999999998,88.09969872013562,0.0,243.49344872013563,1.5439105867321792,8.224628565116452,1.5439105867321792,8.224628565116452,0.0012085369642596002,0.0
noisy_untrusted_external,siot_aware,SIoT-aware,bounded_relationship_guided,selection_cap,2,0.10416666666666666,0.5423177083333334,0.4775820141240048,1.7578125,51.340625,2.6146873847447,8.0,54.7553123847447,0.6386914598492714,0.6202995678203965,0.6386914598492714,0.6202995678203965,0.0019024029291391349,0.30989583333333337
noisy_untrusted_external,siot_aware_trust_privacy,Privacy-aware SIoT,bounded_relationship_guided,selection_cap,2,0.1015625,0.537109375,0.4731812002728233,1.3098958333333335,51.340625,1.9438518397524893,8.0,54.0844768397525,0.6153424192323531,0.45861190874133484,0.6153424192323531,0.45861190874133484,0.001877849355942199,0.30989583333333337
degraded_ego,ego_only,Ego-only,exhaustive_hop,selection_cap,3,0.03125,0.353515625,0.2800222640358487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.0
degraded_ego,opportunistic_all,Opportunistic all,exhaustive_hop,selection_cap,3,0.7552083333333334,0.9329427083333334,0.9045199820187376,53.375,157.00625,84.50089384352299,0.0,241.50714384352295,1.3278019169591895,8.433367082303821,1.3278019169591895,8.433367082303821,0.0031270641576658584,0.0
degraded_ego,siot_aware,SIoT-aware,bounded_relationship_guided,selection_cap,3,0.08333333333333333,0.5455729166666666,0.4964240320633028,2.885416666666667,51.719140625,4.244928368402594,8.0,56.76406899340259,0.6070530766698532,0.9945024875701228,0.6070530766698532,0.9945024875701228,0.0014680648306416998,0.703125
degraded_ego,siot_aware_trust_privacy,Privacy-aware SIoT,bounded_relationship_guided,selection_cap,3,0.08072916666666667,0.5403645833333334,0.4901474508546564,2.796875,51.719140625,4.105077551495077,8.0,56.62421817649508,0.6039311014278786,0.955669334418102,0.6039311014278786,0.955669334418102,0.0014257003322330664,0.703125
ambiguous_local_context,ego_only,Ego-only,exhaustive_hop,selection_cap,3,0.0703125,0.47265625,0.4115826474298713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0703125,0.0
ambiguous_local_context,opportunistic_all,Opportunistic all,exhaustive_hop,selection_cap,3,0.7369791666666666,0.9264322916666666,0.8916643071051212,53.5,159.1625,84.60097790204156,0.0,243.7634779020416,1.315294896092385,8.621603095896727,1.315294896092385,8.621603095896727,0.003023337101232318,0.0
ambiguous_local_context,siot_aware,SIoT-aware,bounded_relationship_guided,selection_cap,3,0.1328125,0.591796875,0.5408638595771077,3.0,52.58229166666666,4.354998894067871,8.356770833333334,57.772967644067876,0.5472848712039691,1.040466372404939,0.5472848712039691,1.040466372404939,0.0022988692708022446,0.2630208333333333
ambiguous_local_context,siot_aware_trust_privacy,Privacy-aware SIoT,bounded_relationship_guided,selection_cap,3,0.12760416666666666,0.5677083333333334,0.5172623316939529,3.0,52.58229166666666,4.354998894067871,8.356770833333334,57.772967644067876,0.5472848712039691,1.040466372404939,0.5472848712039691,1.040466372404939,0.0022087175346923527,0.2630208333333333
noisy_untrusted_external,ego_only,Ego-only,exhaustive_hop,selection_cap,3,0.08854166666666666,0.5006510416666666,0.42518553032108486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08854166666666666,0.0
noisy_untrusted_external,opportunistic_all,Opportunistic all,exhaustive_hop,selection_cap,3,0.29427083333333337,0.751953125,0.6872602244416441,53.1875,155.39374999999998,88.09969872013562,0.0,243.49344872013563,1.5439105867321792,8.224628565116452,1.5439105867321792,8.224628565116452,0.0012085369642596002,0.0
noisy_untrusted_external,siot_aware,SIoT-aware,bounded_relationship_guided,selection_cap,3,0.1015625,0.5494791666666666,0.4858992250389432,1.9765625,51.340625,2.943792857539221,8.0,55.08441785753922,0.6449103925510373,0.6884293540445507,0.6449103925510373,0.6884293540445507,0.0018437609754298142,0.30989583333333337
noisy_untrusted_external,siot_aware_trust_privacy,Privacy-aware SIoT,bounded_relationship_guided,selection_cap,3,0.09895833333333331,0.5423177083333333,0.4802706739535906,1.5130208333333335,51.340625,2.2524124096087252,8.0,54.39303740960873,0.6217233820603771,0.5248522828949822,0.6217233820603771,0.5248522828949822,0.001819319862358927,0.30989583333333337
degraded_ego,ego_only,Ego-only,exhaustive_hop,selection_cap,5,0.03125,0.353515625,0.2800222640358487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.0
degraded_ego,opportunistic_all,Opportunistic all,exhaustive_hop,selection_cap,5,0.7552083333333334,0.9329427083333334,0.9045199820187376,53.375,157.00625,84.50089384352299,0.0,241.50714384352295,1.3278019169591895,8.433367082303821,1.3278019169591895,8.433367082303821,0.0031270641576658584,0.0
degraded_ego,siot_aware,SIoT-aware,bounded_relationship_guided,selection_cap,5,0.14322916666666666,0.615234375,0.5723606685469929,4.177083333333334,51.719140625,5.982387812427076,8.0,58.501528437427076,0.654706722865533,1.1170768909508122,0.654706722865533,1.1170768909508122,0.0024482978563519723,0.703125
degraded_ego,siot_aware_trust_privacy,Privacy-aware SIoT,bounded_relationship_guided,selection_cap,5,0.14583333333333331,0.6009114583333333,0.5546933172036126,3.96875,51.719140625,5.670389368776895,8.0,58.1895299937769,0.6439251587829528,1.0635057000925685,0.6439251587829528,1.0635057000925685,0.0025061782308420347,0.703125
ambiguous_local_context,ego_only,Ego-only,exhaustive_hop,selection_cap,5,0.0703125,0.47265625,0.4115826474298713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0703125,0.0
ambiguous_local_context,opportunistic_all,Opportunistic all,exhaustive_hop,selection_cap,5,0.7369791666666666,0.9264322916666666,0.8916643071051212,53.5,159.1625,84.60097790204156,0.0,243.7634779020416,1.315294896092385,8.621603095896727,1.315294896092385,8.621603095896727,0.003023337101232318,0.0
ambiguous_local_context,siot_aware,SIoT-aware,bounded_relationship_guided,selection_cap,5,0.16927083333333334,0.6217447916666667,0.5682053443569306,3.4453125,52.58229166666666,4.954356609919472,8.356770833333334,58.37232535991947,0.5721501341391688,1.0766544890869643,0.5721501341391688,1.0766544890869643,0.0028998473555682733,0.2630208333333333
ambiguous_local_context,siot_aware_trust_privacy,Privacy-aware SIoT,bounded_relationship_guided,selection_cap,5,0.1640625,0.59765625,0.545582733271128,3.419270833333333,52.58229166666666,4.916465036481023,8.356770833333334,58.33443378648103,0.5707333437629594,1.0721612081170158,0.5707333437629594,1.0721612081170158,0.002812446943438429,0.2630208333333333
noisy_untrusted_external,ego_only,Ego-only,exhaustive_hop,selection_cap,5,0.08854166666666666,0.5006510416666666,0.42518553032108486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08854166666666666,0.0
noisy_untrusted_external,opportunistic_all,Opportunistic all,exhaustive_hop,selection_cap,5,0.29427083333333337,0.751953125,0.6872602244416441,53.1875,155.39374999999998,88.09969872013562,0.0,243.49344872013563,1.5439105867321792,8.224628565116452,1.5439105867321792,8.224628565116452,0.0012085369642596002,0.0
noisy_untrusted_external,siot_aware,SIoT-aware,bounded_relationship_guided,selection_cap,5,0.1015625,0.5494791666666666,0.4858992250389432,1.9765625,51.340625,2.943792857539221,8.0,55.08441785753922,0.6449103925510373,0.6884293540445507,0.6449103925510373,0.6884293540445507,0.0018437609754298142,0.30989583333333337
noisy_untrusted_external,siot_aware_trust_privacy,Privacy-aware SIoT,bounded_relationship_guided,selection_cap,5,0.09895833333333331,0.5423177083333333,0.4802706739535906,1.5130208333333335,51.340625,2.2524124096087252,8.0,54.39303740960873,0.6217233820603771,0.5248522828949822,0.6217233820603771,0.5248522828949822,0.001819319862358927,0.30989583333333337
